"visibility","datetime","coord.lon","coord.lat","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.id","weather.main","weather.description","weather.icon","extraction_date_time","city_name","sys.type","sys.id","rain.1h"
10000.0,"2024-11-01 00:06:00+08:00",119.9811,16.1561,25.48,26.49,25.48,25.48,1008.0,92.0,1008.0,1003.0,2.77,137.0,3.55,100.0,"2024-11-01 05:57:09+08:00","2024-11-01 17:30:02+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:00.897533+08:00","Alaminos","","",""
8000.0,"2024-11-01 00:06:03+08:00",120.5833,15.15,25.25,26.29,25.25,25.25,1009.0,94.0,1009.0,991.0,2.06,180.0,"",75.0,"2024-11-01 05:53:38+08:00","2024-11-01 17:28:44+08:00",803.0,"Clouds","broken clouds","04n","2024-11-01 00:06:03.310999+08:00","Angeles City",1.0,8152.0,""
10000.0,"2024-11-01 00:06:05+08:00",121.19,15.6181,24.3,25.27,24.3,24.3,1010.0,95.0,1010.0,970.0,0.53,78.0,0.91,100.0,"2024-11-01 05:51:43+08:00","2024-11-01 17:25:48+08:00",500.0,"Rain","light rain","10n","2024-11-01 00:06:05.963466+08:00","Antipolo","","",0.13
10000.0,"2024-11-01 00:06:07+08:00",123.5085,12.2285,26.18,26.18,26.18,26.18,1011.0,89.0,1011.0,1002.0,3.36,182.0,5.41,100.0,"2024-11-01 05:38:47+08:00","2024-11-01 17:20:11+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:07.366297+08:00","Bacolod","","",""
10000.0,"2024-11-01 00:06:09+08:00",120.929,14.459000000000001,27.06,31.47,26.69,27.32,1009.0,95.0,1009.0,1006.0,1.03,0.0,"",40.0,"2024-11-01 05:51:30+08:00","2024-11-01 17:28:06+08:00",802.0,"Clouds","scattered clouds","03n","2024-11-01 00:06:09.172967+08:00","Bacoor",2.0,2005706.0,""
10000.0,"2024-11-01 00:06:10+08:00",122.8333,10.5333,26.9,29.88,26.9,26.9,1011.0,84.0,1011.0,1007.0,3.08,204.0,4.58,100.0,"2024-11-01 05:39:41+08:00","2024-11-01 17:24:41+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:10.435979+08:00","Bago City","","",""
10000.0,"2024-11-01 00:06:11+08:00",120.5931,16.4164,16.8,17.02,16.8,16.8,1010.0,95.0,1010.0,920.0,2.02,55.0,0.76,100.0,"2024-11-01 05:54:59+08:00","2024-11-01 17:27:18+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:11.741521+08:00","Baguio","","",""
10000.0,"2024-11-01 00:06:13+08:00",123.1228,9.5911,26.43,26.43,26.43,26.43,1011.0,84.0,1011.0,992.0,1.94,251.0,2.04,90.0,"2024-11-01 05:37:32+08:00","2024-11-01 17:24:31+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:13.302044+08:00","Bais","","",""
10000.0,"2024-11-01 00:06:14+08:00",120.5361,14.6761,26.4,26.4,26.4,26.4,1009.0,88.0,1009.0,992.0,2.01,218.0,2.67,100.0,"2024-11-01 05:53:19+08:00","2024-11-01 17:29:26+08:00",500.0,"Rain","light rain","10n","2024-11-01 00:06:14.782794+08:00","Balanga","","",0.34
10000.0,"2024-11-01 00:06:16+08:00",120.5649,18.0554,25.88,26.85,25.88,25.88,1008.0,89.0,1008.0,998.0,3.09,160.0,"",75.0,"2024-11-01 05:56:56+08:00","2024-11-01 17:25:35+08:00",803.0,"Clouds","broken clouds","04n","2024-11-01 00:06:16.610010+08:00","Batac City",1.0,8159.0,""
10000.0,"2024-11-01 00:06:18+08:00",121.05,13.75,25.81,26.77,25.81,25.81,1009.0,89.0,1009.0,1001.0,2.52,97.0,2.67,98.0,"2024-11-01 05:50:15+08:00","2024-11-01 17:28:23+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:18.944536+08:00","Batangas City","","",""
10000.0,"2024-11-01 00:06:20+08:00",122.8011,9.3636,25.64,26.58,25.64,25.64,1011.0,89.0,1011.0,993.0,0.84,25.0,0.61,87.0,"2024-11-01 05:38:35+08:00","2024-11-01 17:26:03+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:20.309242+08:00","Bayawan","","",""
10000.0,"2024-11-01 00:06:21+08:00",123.7135,13.4083,26.95,29.72,26.95,26.95,1010.0,81.0,1010.0,1000.0,1.69,220.0,2.58,100.0,"2024-11-01 05:39:13+08:00","2024-11-01 17:18:06+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:21.808611+08:00","Baybay","","",""
10000.0,"2024-11-01 00:06:23+08:00",125.7675,8.7561,23.04,23.96,23.04,23.04,1012.0,98.0,1012.0,990.0,0.9,13.0,0.8,58.0,"2024-11-01 05:26:05+08:00","2024-11-01 17:14:49+08:00",803.0,"Clouds","broken clouds","04n","2024-11-01 00:06:23.726233+08:00","Bayugan","","",""
