"id","date","remitted","cash","gcash","total_unpaid","late_payments","total_remittance","total_sales","total_discount","spoilages","unpaid","late","total_purchases","purchases","created_at","updated_at"
"1","2022-06-28","3240.00",NULL,NULL,"0.00","0.00","3240.00","0.00",NULL,"""[]""","""[]""","""[]""",NULL,NULL,"2022-06-28 18:10:00","2022-06-28 18:10:00"
"2","2022-06-29","5210.00",NULL,NULL,"0.00","0.00","5210.00","0.00",NULL,"""[]""","""[]""","""[]""",NULL,NULL,"2022-06-29 17:19:47","2022-06-29 17:19:47"
"3","2022-07-01","6340.00",NULL,"630.00","1160.00","965.00","6970.00","6970.00",NULL,"[]","[{""name"":""sir Ghino - "",""price"":""650.00""},{""name"":""exam intructors - care off sir ghino"",""price"":""250.00""},{""name"":""sir ghino - "",""price"":""260.00""}]","[{""name"":""sir jhino -  (Jul 01)"",""price"":""775.00""},{""name"":""sir jhino  - care off sir jc (Jul 01)"",""price"":""190.00""}]","120.00","[{""name"":""Ice"",""price"":120}]","2022-07-01 17:27:30","2022-07-01 17:27:30"
"4","2022-07-02","600.00",NULL,"0.00","80.00","0.00","600.00","600.00",NULL,"[]","[{""name"":""ma'am shiela - "",""price"":""80.00""}]","[]","0.00","[]","2022-07-02 14:02:33","2022-07-02 14:02:33"
"5","2022-07-04","6885.00",NULL,"225.00","250.00","0.00","7110.00","7110.00",NULL,"[]","[{""name"":""ma'am minerva - "",""price"":""40.00""},{""name"":""kuya luis - "",""price"":""210.00""}]","[]","220.00","[{""name"":""Care of Sir Jann"",""price"":220}]","2022-07-04 17:47:42","2022-07-04 17:47:42"
"6","2022-07-05","0.00","6970.00","110.00","3265.00","40.00","10215.00","10305.00",NULL,"[]","[{""name"":""sir jj - "",""price"":""70.00""},{""name"":""ma'am rizza - care off sir jhino"",""price"":""240.00""},{""name"":""ma'am rizza - care off sir ghino"",""price"":""425.00""},{""name"":""sir jc - "",""price"":""70.00""},{""name"":""ma'am rizza - care off sir ghino"",""price"":""150.00""},{""name"":""maam brylyn - "",""price"":""650.00""},{""name"":""ma'am rizza - care off sir ghino"",""price"":""770.00""},{""name"":""sir Ghino - "",""price"":""760.00""},{""name"":""Luis - "",""price"":""130.00""}]","[{""name"":""ma'am minerva -  (Jul 04) - cash"",""price"":""40.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-07-05 17:45:25","2022-07-05 17:45:25"
"7","2022-07-06","0.00","8145.00","530.00","325.00","70.00","8870.00","8930.00",NULL,"[]","[{""name"":""sir jm - "",""price"":""160.00""},{""name"":""sir jann - "",""price"":""70.00""},{""name"":""sir jann - "",""price"":""95.00""}]","[{""name"":""sir jj -  (Jul 05) - cash"",""price"":""70.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-07-06 17:51:55","2022-07-06 17:51:55"
"8","2022-07-07","0.00","7095.00","0.00","185.00","1160.00","8300.00","7280.00",NULL,"[]","[{""name"":""adam - "",""price"":""85.00""},{""name"":""maam venerva - "",""price"":""40.00""},{""name"":""luis - "",""price"":""60.00""}]","[{""name"":""sir Ghino -  (Jul 01) - cash"",""price"":""650.00""},{""name"":""exam intructors - care off sir ghino (Jul 01) - cash"",""price"":""250.00""},{""name"":""sir ghino -  (Jul 01) - cash"",""price"":""260.00""}]","140.00","[{""name"":""Ice"",""price"":130},{""name"":""Sugar"",""price"":10}]","2022-07-07 18:38:05","2022-07-07 18:38:05"
"9","2022-07-05","0.00","6930.00","110.00","3195.00","40.00","10215.00","10305.00",NULL,"[]","[{""name"":""ma'am rizza - care off sir jhino"",""price"":""240.00""},{""name"":""ma'am rizza - care off sir ghino"",""price"":""425.00""},{""name"":""sir jc - "",""price"":""70.00""},{""name"":""ma'am rizza - care off sir ghino"",""price"":""150.00""},{""name"":""maam brylyn - "",""price"":""650.00""},{""name"":""ma'am rizza - care off sir ghino"",""price"":""770.00""},{""name"":""sir Ghino - "",""price"":""760.00""},{""name"":""Luis - "",""price"":""130.00""}]","[{""name"":""ma'am minerva -  (Jul 04) - cash"",""price"":""40.00""}]","130.00","[{""name"":""Ice"",""price"":130}]","2022-07-07 18:47:35","2022-07-07 18:47:35"
"10","2022-07-08","0.00","7415.00","1175.00","800.00","85.00","8970.00","9390.00",NULL,"[]","[{""name"":""sir ghinno  - care off sir jc"",""price"":""340.00""},{""name"":""vpa - "",""price"":""245.00""},{""name"":""sir jann - care off sirjann"",""price"":""85.00""},{""name"":""ma'am mimi - "",""price"":""130.00""}]","[{""name"":""adam -  (Jul 07) - cash"",""price"":""85.00""}]","505.00","[{""name"":""Jayjay"",""price"":245},{""name"":""Ice"",""price"":260}]","2022-07-08 17:40:48","2022-07-08 17:40:48"
